"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"8","familie","menschen","kunst","frauen","zeit","eltern","paar","geschichte","junge","spaeter","heute","paar","mann","familie","kinder","frau","mann","kinder","ddr","erzaehlt","buch","film","jungen","sebastian","film","junge","island","buch","dattel","frau","leben","paar","vater","kinder","heute","leben","schmidt","frauen","mann","flick","maenner","menschen","maenner","frau","maenner","menschen","leben","leben","kinder","leute","leben","t","leben","kinder","frauen","frauen","frau","mann","menschen","familie","stadt","mann","meyer","koeppel","leute","boehm","  ","leben","paar","familie","eltern","menschen","eltern","kinder","stadt","schueler","tag","leben","hause","familie","maenner"
"9","buch","heute","stadt","shylock","stadt","paar","familie","alte","geschichte","familie","paar","leute","paar","all","heute","heute","kinder","leben","heute","leute","leben","frauen","jugendlichen","musik","urania","leben","vater","menschen","familie","claussen","menschen","tiggemann","familie","maenner","erzaehlt","menschen","eltern","junge","eltern","mann","familie","kaminer","beruf","menschen","uhr","doepfner","kinder","parker","sohn","mann","menschen","buch","maenner","frau","vater","menschen","mann","eltern","eltern","paar","hook","paar","menschen","kampa","grams","maedchen","schule","vater","schule","schule","familie","kiechle","muller","stadt","vater","mann","leute","schule","mann","sitzt","mann"
"10","jahre","slomka","musik","zeit","alte","zeit","kinder","ddr","leute","junge","uhr","menschen","heute","licht","paar","kinder","paar","leute","familie","frau","familie","kind","maedchen","mihail","leben","paar","paar","jahre","herstatt","mutter","eltern","buch","menschen","erzaehlt","maenner","jungen","erzaehlt","beruf","ali","geissler","fisher","rathgeber","junge","schwarzer","menschen","mathias","spaeter","eltern","maenner","familie","familie","bianca","jungen","menschen","silva","mutter","familie","menschen","erzaehlt","naser","maenner","duesseldorf","mutter","helmut","vater","mann","leben","musik","bilder","leben","essen","familie","frau","heute","kinder","erzaehlt","frauen","familie","paar","frauen","hause"
"11","kaliningrad","paar","heute","laesst","geschichte","gibraltar","stadt","kirche","jahre","paar","kinder","roman","frauen","junge","geschichte","geschichte","maenner","geschichte","prostatakrebs","geschichte","filme","fernsehen","hemmersbach","geschichte","darsteller","verlag","maenner","frau","mann","mann","maenner","menschen","jahre","leben","menschen","familie","jungen","studiert","lehrer","familie","menschen","eltern","kinder","paar","frauen","babu","vedder","hobsbawm","leben","maenner","eltern","mutter","paar","stadt","sohn","frau","eltern","schavan","vater","mann","papst","heute","kinder","menschen","frauen","helmut","kluge","menschen","vater","kunst","mann","erzaehlt","juden","paar","kamprad","maenner","frau","kind","familie","mutter","tag"
"12","angermann","junge","junge","gibt","stirlitz","konnte","junge","paar","maenner","kinder","stunden","mann","vater","eltern","brando","loriot","spaeter","buch","frau","familie","paar","lang","eltern","buch","kindern","film","claussen","gerne","paar","schule","job","maenner","siebert","heute","mcdonald","leute","gruen","loebenfelder","paar","ursel","mutter","jungen","familie","kinder","vera","lal","mutter","kalender","frau","paar","frau","annalea","stueckl","eltern","jungen","vater","erzaehlt","vater","frau","menschen","leute","platten","antarktis","frauen","heute","augen","familie","kind","rechtschreibung","pacha","schule","reim","alt","house","omido","spaeter","maenner","kindern","leben","leute","vater"
"13","junge","geschichte","geschichte","frau","schriftsteller","laesst","tag","jahre","zeit","frauen","jahre","calliope","karriere","kinder","leute","weihnachten","mutter","kindern","geschichte","job","kunst","hause","macht","kinder","regie","kind","frauen","erzaehlt","keynes","kuttner","erzaehlt","frau","mutter","familie","roughani","heute","familie","menschen","junge","eltern","junge","erzaehlt","buch","alice","familie","suckale","paar","familie","wallace","mutter","heute","menschen","kindern","mutter","menschen","leute","buch","milch","leben","erzaehlt","projects","maenner","mann","stadt","frau","stadt","frau","leute","lehrer","stadt","frau","frauen","maenner","spaeter","familie","familie","mann","familien","maenner","spaeter","schule"
"14","leute","job","tag","maenner","kleine","s","macht","alten","pound","tag","macht","kirche","geschichte","castorf","familie","maenner","familie","zeit","adorf","roman","geschichte","junge","heute","spaeter","frau","jungen","holczer","braun","menschen","frauen","spaeter","heute","eltern","kind","sitzt","erzaehlt","maenner","arbeit","heute","film","dorf","familie","spaeter","daniel","paar","wiesner","polizei","erzaehlt","spaeter","sohn","erzaehlt","zanele","leute","vater","mann","kind","polizei","kirche","wagner","kunst","eltern","vater","familie","uhr","guersel","leute","vater","sohn","eltern","erzaehlt","schueler","heute","vater","schule","sohn","schule","mutter","frau","mutter","roehren","mutter"
"15","eltern","art","buch","kinder","heute","bisschen","alte","erinnert","bisschen","stadt","jaeger","alten","uhr","tun","junge","stadt","buch","junge","kinder","lenze","eltern","kultur","vater","frauen","erzaehlt","baer","spaeter","abend","ulbricht","paar","familie","job","tag","jahre","leute","maenner","sohn","jungen","vater","buch","kind","dussmann","erzaehlt","essen","buch","leute","christy","leute","erzaehlt","gemeinde","spaeter","spaeter","ai","paar","stadt","enzensberger","arbeit","angst","stadt","eltern","frau","lebt","leute","frau","paar","vater","stadt","mugabe","uhr","tag","juruna","stadt","neuseeland","familie","erzaehlt","frau","muenchen","tag","frau","hause","uhr"
"16","paar","heimat","augen","angst","paar","gerade","leser","familie","hause","erzaehlt","art","kinder","kluge","alten","buch","frauen","vater","frau","macht","stadt","laesst","spaeter","frau","kultur","nanjie","maenner","eltern","stadt","heute","kind","buch","macht","erzaehlt","buch","angst","koffer","heute","sitzt","judith","maenner","leute","freud","papst","jahre","kindern","junge","frauen","tag","horzon","junge","leute","musik","streibl","alten","mutter","erzaehlt","mutter","habeck","buch","hoyerswerda","red","liebe","bilder","paar","stadt","ging","mutter","kotschedoff","martenstein","leute","jahre","leute","heute","modis","jahre","eltern","uhr","stadt","junge","sandra","familie"
"17","zeit","stunden","erzaehlt","familie","familie","job","urlaub","eltern","generation","jahre","generation","wunder","professor","vater","dohnányi","pamuk","kindern","erzaehlt","gibt","maenner","heute","familie","job","auto","menschen","geschichte","jahre","geschichte","mutter","angst","geschichte","frauen","sohn","leute","familie","eltern","menschen","kirche","erzaehlt","junge","vater","bilder","jugend","eltern","jungen","kinder","familie","buch","menschen","tag","alten","kindern","vater","zeit","utsch","schaefer","frueher","maenner","mutter","maenner","tay","bisschen","paar","polizei","film","familie","leute","weihnachten","leben","fluechtlinge","leute","haus","maedchen","buero","spaeter","kindern","paar","maenner","kindern","uhr","paar"
